filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,243.0,246.0,Catharus ustulatus,Swainson's Thrush,0.1381,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,249.0,252.0,Setophaga occidentalis,Hermit Warbler,0.1675,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,252.0,255.0,Catharus ustulatus,Swainson's Thrush,0.7805,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,261.0,264.0,Catharus ustulatus,Swainson's Thrush,0.8869,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,267.0,270.0,Catharus ustulatus,Swainson's Thrush,0.7742,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,27.0,30.0,Catharus ustulatus,Swainson's Thrush,0.9951,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,273.0,276.0,Catharus ustulatus,Swainson's Thrush,0.6562,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,279.0,282.0,Catharus ustulatus,Swainson's Thrush,0.8403,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,288.0,291.0,Catharus ustulatus,Swainson's Thrush,0.1222,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,291.0,294.0,Catharus ustulatus,Swainson's Thrush,0.6205,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,3.0,6.0,Brachyramphus marmoratus,Marbled Murrelet,0.4337,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,3.0,6.0,Ixoreus naevius,Varied Thrush,0.1474,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,3.0,6.0,Catharus ustulatus,Swainson's Thrush,0.1315,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,30.0,33.0,Catharus ustulatus,Swainson's Thrush,0.9897,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,315.0,318.0,Catharus ustulatus,Swainson's Thrush,0.6322,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,318.0,321.0,Catharus ustulatus,Swainson's Thrush,0.4903,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:/Users/JKauphusman/Desktop/Scripts/Bird_Scanner/example-audio-directory/Rivendell_20210623_114602.wav,321.0,324.0,Catharus ustulatus,Swainson's Thrush,0.7746,46.0992,-123.8765,25,0.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
